Date,Course_Load_Min,Homework_Count,Project_Count,Exam_Count,Exam_Number_Week,Calories
2025-09-22,0,0,0,0,0,1500
2025-09-23,0,0,0,0,0,1250
2025-09-24,100,0,0,0,0,1720
2025-09-25,50,0,0,0,0,1450
2025-09-26,0,0,0,0,0,1500
2025-09-27,100,0,0,0,0,1380
2025-09-28,0,0,0,0,0,1500
2025-09-29,0,0,0,0,0,1618
2025-09-30,0,0,0,0,0,1642
2025-10-01,100,0,0,0,0,1520
2025-10-02,50,0,0,0,0,1712
2025-10-03,0,0,0,0,0,1640
2025-10-04,100,0,0,0,0,1540
2025-10-05,0,0,0,0,0,1500
2025-10-06,0,0,0,0,0,1550
2025-10-07,0,0,0,0,0,1500
2025-10-08,100,0,0,0,0,1550
2025-10-09,50,0,0,0,0,1430
2025-10-10,0,0,0,0,0,1633
2025-10-11,100,0,0,0,0,1210
2025-10-12,0,0,0,0,0,1620
2025-10-13,0,0,0,0,0,1655
2025-10-14,0,0,0,0,0,1617
2025-10-15,100,0,0,0,0,1733
2025-10-16,50,0,0,0,0,1702
2025-10-17,0,0,1,0,0,1800
2025-10-18,0,0,0,0,0,1624   
2025-10-19,0,0,0,0,0,1603
2025-10-20,0,0,0,0,0,1628
2025-10-21,0,0,0,0,0,1644
2025-10-22,100,0,0,0,0,1772
2025-10-23,50,0,0,0,0,1695
2025-10-24,0,0,0,0,0,1618
2025-10-25,100,0,0,0,0,1833
2025-10-26,0,0,0,0,0,1609
2025-10-27,0,1,0,0,0,1788
2025-10-28,0,0,0,0,0,1664
2025-10-29,0,0,0,0,0,1632
2025-10-30,50,0,0,0,0,1715
2025-10-31,0,0,0,0,0,1677
2025-11-01,0,0,0,0,0,1222
2025-11-02,0,0,0,0,0,1105
2025-11-03,320,0,0,0,0,1362
2025-11-04,210,0,0,0,0,1400
2025-11-05,320,0,0,0,0,1300
2025-11-06,320,0,0,0,0,2350
2025-11-07,110,0,0,0,0,1541
2025-11-08,0,0,1,0,0,1579
2025-11-09,0,0,0,0,0,1050
2025-11-10,320,0,0,0,3,1880
2025-11-11,210,0,0,0,3,1900
2025-11-12,320,0,0,0,3,2050
2025-11-13,320,0,0,0,3,1900
2025-11-14,110,0,0,1,3,2140
2025-11-15,0,0,0,1,3,1850
2025-11-16,0,0,0,1,3,1950
2025-11-17,320,1,0,0,1,1850
2025-11-18,210,0,0,0,1,1500
2025-11-19,320,0,0,0,1,1757
2025-11-20,320,1,0,0,1,1940
2025-11-21,110,0,0,0,1,1420
2025-11-22,0,0,0,1,1,1550
2025-11-23,0,0,0,0,1,1197
2025-11-24,320,0,0,0,1,663
2025-11-25,210,0,1,0,1,1650
2025-11-26,320,0,0,1,1,2115
2025-11-27,320,0,0,0,1,1600
